status_account,month_duration,credit_history,status_savings,years_employment,payment_to_income_ratio,residence_since,age,other_installment_plans,housing,n_credits,job,n_guarantors,telephone,is_foreign_worker,target,sex,marital_status,age_group,loan_burden,risk_combo,financial_health,employment_stability,has_collateral,credit_amount_log,loan_to_income_proxy,purpose_risk,total_credit_exposure
negative,24,current_paid,very_low,unemployed,4,2,30,stores,own,1,management,2,no,yes,0,male,single,mid_young,75.95833333333333,6,1.4,2.8,1,7.508787170634276,303.8333333333333,low_risk,4
low_balance,6,current_paid,unknown,unemployed,1,2,23,none,own,1,unemployed,1,yes,yes,0,male,single,young,2425.8333333333335,5,1.6,0.0,1,9.585758558732051,2425.8333333333335,medium_risk,1
low_balance,21,current_paid,low,Expert,4,2,61,bank,rent,2,unskilled,1,no,yes,0,male,divorced/separated,adults,131.76190476190476,5,2.4,1.6,1,7.92588031673756,527.047619047619,high_risk,8
no_checking,12,critical_other,very_low,Mid-Level,4,2,35,none,own,2,skilled,1,no,yes,1,female,divorced/separated/married,adults,107.58333333333333,2,2.6,2.4000000000000004,1,7.163946684342547,430.3333333333333,low_risk,8
negative,30,current_paid,very_low,Expert,1,3,39,none,own,1,skilled,2,no,yes,1,male,single,adults,84.06666666666666,6,1.4,2.4000000000000004,1,7.833203948641057,84.06666666666666,low_risk,1
negative,24,current_paid,unknown,Expert,4,2,29,bank,own,1,skilled,1,no,yes,0,female,divorced/separated/married,mid_young,38.125,6,1.0,2.4000000000000004,1,6.82001636467413,152.5,medium_risk,4
no_checking,6,current_paid,very_low,Senior,3,2,51,none,own,1,skilled,2,no,yes,1,male,single,adults,265.8333333333333,3,2.6,2.4000000000000004,1,7.375255778009754,797.5,low_risk,3
negative,48,no_credits,very_low,Expert,3,4,24,none,for free,2,skilled,2,no,yes,0,male,single,young,95.9375,9,1.4,2.4000000000000004,1,8.43511508038063,287.8125,low_risk,6
no_checking,12,critical_other,very_low,Mid-Level,3,2,27,none,own,2,skilled,1,no,yes,1,female,divorced/separated/married,mid_young,98.75,2,2.6,2.4000000000000004,0,7.078341579557671,296.25,high_risk,6
no_checking,12,all_paid_here,medium,Mid-Level,4,3,35,none,own,1,unskilled,2,no,yes,1,female,divorced/separated/married,adults,287.25,5,3.4,1.6,0,8.145549631783584,1149.0,low_risk,4
no_checking,24,current_paid,very_low,Senior,4,1,25,none,own,1,skilled,1,yes,yes,1,male,single,mid_young,52.416666666666664,3,2.6,2.4000000000000004,0,7.138073034044347,209.66666666666666,high_risk,4
no_checking,12,critical_other,very_low,Expert,4,4,52,none,own,3,skilled,1,no,yes,1,male,single,adults,59.75,2,2.6,2.4000000000000004,0,6.576469569048224,239.0,low_risk,12
no_checking,6,no_credits,low,Mid-Level,4,1,35,bank,rent,1,skilled,1,no,no,1,male,single,adults,200.66666666666666,6,3.0,2.4000000000000004,1,7.094234845924755,802.6666666666666,medium_risk,4
high_balance,24,current_paid,very_low,Mid-Level,2,2,26,none,own,1,skilled,1,no,yes,1,male,single,mid_young,80.20833333333333,4,3.2,2.4000000000000004,0,7.563200592358071,160.41666666666666,medium_risk,2
no_checking,18,current_paid,very_low,unemployed,3,4,22,none,rent,1,skilled,1,no,yes,0,female,divorced/separated/married,young,24.055555555555557,3,2.6,2.0999999999999996,0,6.073044534100405,72.16666666666667,low_risk,3
negative,6,critical_other,high,Senior,3,4,39,none,own,2,unskilled,1,yes,yes,1,female,divorced/separated/married,adults,111.0,5,2.6,1.6,0,6.502790045915623,333.0,medium_risk,6
high_balance,12,current_paid,very_low,Mid-Level,1,2,46,none,own,1,unskilled,1,no,yes,1,female,divorced/separated/married,adults,187.58333333333334,4,3.2,1.6,1,7.719573989259581,187.58333333333334,medium_risk,1
low_balance,30,current_paid,very_low,Mid-Level,4,2,24,bank,own,1,skilled,1,no,yes,0,female,divorced/separated/married,young,71.66666666666667,5,2.0,2.4000000000000004,1,7.67368812926773,286.6666666666667,medium_risk,4
no_checking,24,delayed_past,low,Mid-Level,2,3,35,none,own,2,skilled,1,no,yes,1,male,single,adults,172.95833333333334,3,3.0,2.4000000000000004,1,8.331345424845724,345.9166666666667,medium_risk,4
low_balance,9,current_paid,unknown,Senior,2,1,24,none,own,1,skilled,1,yes,yes,1,male,single,young,225.55555555555554,5,1.6,2.4000000000000004,1,7.616283561580385,451.1111111111111,medium_risk,2
low_balance,60,delayed_past,unknown,Mid-Level,1,1,27,none,own,1,unskilled,1,no,yes,1,male,single,mid_young,123.63333333333334,5,1.6,1.6,0,8.911799556189527,123.63333333333334,low_risk,1
no_checking,24,critical_other,very_low,Mid-Level,4,2,35,none,own,2,unskilled,1,no,yes,1,male,single,adults,111.83333333333333,2,2.6,1.6,0,7.895436006942965,447.3333333333333,low_risk,8
negative,12,all_paid_here,very_low,Mid-Level,4,1,29,none,for free,1,skilled,1,no,yes,0,male,divorced/separated,mid_young,179.08333333333334,8,1.4,2.4000000000000004,1,7.673223121121708,716.3333333333334,low_risk,4
no_checking,15,current_paid,low,Junior,1,4,23,none,own,1,skilled,1,yes,yes,1,female,divorced/separated/married,young,254.13333333333333,3,3.0,2.4000000000000004,1,8.246171559857563,254.13333333333333,low_risk,1
no_checking,11,critical_other,low,unemployed,4,4,57,none,own,3,unskilled,1,no,yes,1,female,divorced/separated/married,adults,104.9090909090909,2,3.0,0.7,0,7.051855622955894,419.6363636363636,low_risk,12
negative,12,current_paid,very_low,Mid-Level,2,2,27,none,own,1,skilled,1,no,yes,1,male,single,mid_young,138.08333333333334,6,1.4,2.4000000000000004,0,7.4133673356952405,276.1666666666667,medium_risk,2
negative,24,current_paid,very_low,Expert,4,4,55,none,own,1,skilled,1,no,yes,1,female,divorced/separated/married,adults,66.79166666666667,6,1.4,2.4000000000000004,1,7.38025578842646,267.1666666666667,low_risk,4
negative,18,critical_other,very_low,Expert,2,4,36,none,for free,3,management,1,yes,yes,1,male,single,adults,294.55555555555554,5,1.4,2.8,1,8.57602797713713,589.1111111111111,medium_risk,6
no_checking,12,critical_other,very_low,Expert,2,4,57,bank,for free,3,unskilled,1,no,yes,1,female,divorced/separated/married,adults,229.0,2,2.6,1.6,1,7.918992488165245,458.0,high_risk,6
no_checking,10,critical_other,very_low,Expert,3,4,32,none,own,2,unskilled,2,no,no,1,male,single,mid_young,123.1,2,2.6,1.6,0,7.116394144093465,369.29999999999995,medium_risk,6
low_balance,15,current_paid,very_low,Expert,4,3,37,none,own,1,skilled,2,no,yes,0,male,single,adults,53.46666666666667,5,2.0,2.4000000000000004,1,6.688354713946762,213.86666666666667,low_risk,4
no_checking,36,critical_other,unknown,Expert,4,4,36,none,own,2,skilled,1,no,yes,1,male,single,adults,175.11111111111111,2,2.2,2.4000000000000004,0,8.74909824839902,700.4444444444445,high_risk,8
no_checking,24,current_paid,very_low,Junior,4,3,38,stores,own,1,skilled,1,yes,yes,1,female,divorced/separated/married,adults,63.875,3,2.6,2.4000000000000004,1,7.335633981927201,255.5,low_risk,4
negative,14,current_paid,very_low,Expert,1,4,45,none,own,1,management,1,yes,no,0,male,divorced/separated,adults,641.2857142857143,6,1.4,2.8,1,9.102643796520809,641.2857142857143,medium_risk,1
no_checking,24,current_paid,unknown,Expert,4,2,25,none,own,2,skilled,1,no,yes,1,male,single,mid_young,41.625,3,2.2,2.4000000000000004,1,6.907755278982137,166.5,low_risk,8
no_checking,18,current_paid,unknown,Senior,4,3,32,none,own,1,skilled,1,no,no,1,male,single,mid_young,147.88888888888889,3,2.2,2.4000000000000004,1,7.887208585813932,591.5555555555555,medium_risk,4
no_checking,12,critical_other,medium,Senior,3,4,37,none,rent,1,skilled,1,yes,yes,1,female,divorced/separated/married,adults,116.83333333333333,2,3.4,2.4000000000000004,1,7.246368080102461,350.5,medium_risk,3
low_balance,48,all_paid_here,unknown,unemployed,4,4,36,none,for free,1,management,1,yes,yes,1,male,single,adults,253.52083333333334,7,1.6,2.8,1,9.406729185981574,1014.0833333333334,medium_risk,4
low_balance,48,current_paid,very_low,Senior,4,4,28,none,own,2,skilled,1,no,yes,0,male,single,mid_young,63.75,5,2.0,2.4000000000000004,0,8.026496938945412,255.0,low_risk,8
negative,30,current_paid,very_low,Junior,1,1,34,none,own,1,unskilled,1,yes,yes,0,male,divorced/separated,mid_young,399.93333333333334,6,1.4,1.6,1,9.392578591964389,399.93333333333334,medium_risk,1
no_checking,9,current_paid,very_low,Mid-Level,1,2,32,none,own,1,skilled,2,no,yes,1,male,single,mid_young,299.6666666666667,3,2.6,2.4000000000000004,0,7.900266036767701,299.6666666666667,low_risk,1
no_checking,18,critical_other,very_low,Mid-Level,2,2,26,none,own,2,skilled,1,no,yes,1,female,divorced/separated/married,mid_young,133.55555555555554,2,2.6,2.4000000000000004,1,7.785305182539862,267.1111111111111,low_risk,4
negative,12,current_paid,unknown,Expert,2,4,49,none,own,1,unskilled,1,yes,yes,1,male,divorced/separated,adults,105.16666666666667,6,1.0,1.6,1,7.141245122350491,210.33333333333334,medium_risk,2
no_checking,6,current_paid,very_low,Junior,1,4,32,none,own,1,skilled,1,no,yes,0,female,divorced/separated/married,mid_young,768.5,3,2.6,2.4000000000000004,1,8.436416881388949,768.5,medium_risk,1
no_checking,24,current_paid,low,Mid-Level,4,4,29,none,rent,1,management,1,yes,yes,1,male,single,mid_young,79.20833333333333,3,3.0,2.8,1,7.550661243105336,316.8333333333333,low_risk,4
no_checking,15,critical_other,high,Expert,3,4,23,none,rent,2,skilled,1,yes,yes,1,male,single,young,224.53333333333333,2,3.8,2.4000000000000004,1,8.122371243406553,673.6,low_risk,6
no_checking,12,current_paid,very_low,Mid-Level,4,2,50,none,own,1,skilled,1,no,yes,1,male,single,adults,131.16666666666666,3,2.6,2.4000000000000004,0,7.362010551259734,524.6666666666666,medium_risk,4
high_balance,18,all_paid_here,unknown,Senior,4,4,49,bank,own,1,unskilled,1,no,yes,1,male,single,adults,80.27777777777777,6,2.8,1.6,1,7.27655640271871,321.1111111111111,low_risk,4
no_checking,15,critical_other,unknown,Expert,4,4,63,none,own,1,skilled,1,no,yes,1,male,single,adults,101.33333333333333,2,2.2,2.4000000000000004,1,7.327123292259293,405.3333333333333,medium_risk,4
low_balance,24,critical_other,low,Junior,4,2,37,none,own,1,skilled,1,yes,yes,1,male,divorced/separated,adults,161.58333333333334,4,2.4,2.4000000000000004,1,8.263332667439967,646.3333333333334,medium_risk,4
negative,47,current_paid,very_low,Junior,1,1,35,none,own,1,unskilled,1,yes,yes,1,female,divorced/separated/married,adults,228.12765957446808,6,1.4,1.6,0,9.280146246220145,228.12765957446808,medium_risk,1
negative,48,current_paid,very_low,Senior,4,3,26,none,own,1,skilled,2,no,yes,1,male,single,mid_young,99.75,6,1.4,2.4000000000000004,1,8.47407690034261,399.0,low_risk,4
low_balance,48,delayed_past,low,unemployed,2,4,31,none,for free,1,management,1,yes,yes,1,male,single,mid_young,157.95833333333334,5,2.4,2.8,1,8.933664178700935,315.9166666666667,medium_risk,2
low_balance,12,current_paid,very_low,Mid-Level,4,4,49,none,own,2,skilled,1,yes,yes,1,female,divorced/separated/married,adults,91.0,5,2.0,2.4000000000000004,0,6.996681488176539,364.0,low_risk,8
negative,24,delayed_past,very_low,Junior,4,4,48,stores,own,1,skilled,1,no,yes,0,male,married/widowed,adults,42.666666666666664,6,1.4,2.4000000000000004,0,6.932447891572509,170.66666666666666,low_risk,4
no_checking,12,current_paid,very_low,Mid-Level,2,2,26,none,own,1,skilled,1,yes,no,1,male,married/widowed,mid_young,89.66666666666667,3,2.6,2.4000000000000004,0,6.981934677156389,179.33333333333334,high_risk,2
low_balance,36,current_paid,very_low,Junior,1,4,28,none,rent,1,management,1,yes,yes,0,male,married/widowed,mid_young,261.05555555555554,5,2.0,2.8,1,9.148358579620302,261.05555555555554,low_risk,1
negative,24,critical_other,very_low,Expert,2,4,44,none,for free,2,management,2,yes,yes,1,female,divorced/separated/married,adults,267.4583333333333,5,1.4,2.8,1,8.767173396684006,534.9166666666666,low_risk,4
high_balance,42,critical_other,very_low,Expert,4,4,56,none,for free,1,skilled,1,no,yes,1,male,single,adults,114.19047619047619,3,3.2,2.4000000000000004,1,8.475746001502063,456.76190476190476,low_risk,4
no_checking,48,critical_other,unknown,Expert,4,2,46,bank,own,2,management,2,no,yes,1,male,divorced/separated,adults,158.9375,2,2.2,2.8,1,8.939843124278502,635.75,high_risk,8
low_balance,48,current_paid,very_low,Junior,1,2,26,none,own,1,skilled,1,yes,yes,0,female,divorced/separated/married,mid_young,207.5,5,2.0,2.4000000000000004,1,9.206432747145165,207.5,medium_risk,1
no_checking,12,current_paid,unknown,Junior,1,4,20,none,rent,1,skilled,1,no,yes,1,female,divorced/separated/married,young,389.5833333333333,3,2.2,2.4000000000000004,1,8.450198322591959,389.5833333333333,low_risk,1
no_checking,10,current_paid,unknown,Expert,4,2,45,none,own,1,unskilled,1,no,no,1,male,single,adults,128.7,3,2.2,1.6,1,7.160845906664299,514.8,medium_risk,4
no_checking,18,current_paid,very_low,Mid-Level,3,4,43,none,own,1,skilled,1,yes,yes,1,male,single,adults,139.72222222222223,3,2.6,2.4000000000000004,0,7.830425617820331,419.1666666666667,medium_risk,3
low_balance,21,critical_other,high,Senior,3,2,32,none,own,2,skilled,1,yes,yes,1,male,single,mid_young,130.71428571428572,4,3.2,2.4000000000000004,1,7.917900586327916,392.14285714285717,medium_risk,6
no_checking,6,current_paid,very_low,unemployed,1,4,54,none,own,1,unemployed,1,yes,yes,1,female,divorced/separated/married,adults,112.0,3,2.6,0.0,0,6.511745329644728,112.0,medium_risk,1
low_balance,36,no_credits,very_low,Mid-Level,4,1,42,none,own,1,skilled,1,yes,yes,0,female,divorced/separated/married,adults,105.66666666666667,8,2.0,2.4000000000000004,1,8.244071270295786,422.6666666666667,low_risk,4
high_balance,24,critical_other,unknown,Senior,4,2,37,bank,own,2,unskilled,2,no,yes,0,male,single,adults,56.0,3,2.8,1.6,0,7.20414929203594,224.0,medium_risk,8
negative,10,critical_other,very_low,Senior,4,3,49,none,own,2,skilled,1,yes,yes,1,male,single,adults,103.8,5,1.4,2.4000000000000004,1,6.946013991099227,415.2,medium_risk,8
no_checking,48,critical_other,medium,Mid-Level,2,2,44,bank,for free,1,skilled,1,no,yes,0,male,single,adults,210.97916666666666,2,3.4,2.4000000000000004,1,9.223059144383958,421.9583333333333,medium_risk,2
no_checking,6,current_paid,high,Mid-Level,4,2,33,none,own,1,skilled,1,no,yes,1,male,divorced/separated,mid_young,257.1666666666667,3,3.8,2.4000000000000004,0,7.342131730584722,1028.6666666666667,medium_risk,4
no_checking,30,current_paid,unknown,Senior,2,4,24,stores,rent,1,unskilled,1,no,yes,1,female,divorced/separated/married,young,160.36666666666667,3,2.2,1.6,1,8.47886807709457,320.73333333333335,low_risk,2
negative,12,current_paid,low,Junior,4,3,33,none,own,1,unskilled,1,yes,yes,0,male,married/widowed,mid_young,60.583333333333336,6,1.8,1.6,1,6.590301048196686,242.33333333333334,low_risk,4
low_balance,8,current_paid,very_low,Mid-Level,3,4,24,none,own,1,skilled,1,no,yes,0,female,divorced/separated/married,young,154.625,5,2.0,2.4000000000000004,0,7.121252453244542,463.875,medium_risk,3
low_balance,9,current_paid,very_low,Mid-Level,4,4,22,none,rent,1,unskilled,1,no,yes,1,male,married/widowed,young,30.666666666666668,5,2.0,1.6,0,5.6240175061873385,122.66666666666667,medium_risk,4
low_balance,48,current_paid,unknown,unemployed,3,4,40,bank,for free,1,unemployed,1,yes,yes,1,male,single,adults,112.10416666666667,5,1.6,0.0,1,8.590815331286851,336.3125,medium_risk,3
no_checking,24,current_paid,low,Mid-Level,4,1,25,stores,own,1,skilled,1,no,yes,1,male,single,mid_young,229.625,3,3.0,2.4000000000000004,1,8.614682812693495,918.5,medium_risk,4
high_balance,24,current_paid,very_low,Junior,2,4,26,none,own,1,skilled,1,no,yes,1,female,divorced/separated/married,mid_young,156.20833333333334,4,3.2,2.4000000000000004,1,8.229511118964457,312.4166666666667,medium_risk,2
low_balance,12,current_paid,very_low,Senior,2,3,25,bank,own,1,unskilled,1,no,yes,0,male,married/widowed,mid_young,57.083333333333336,5,2.0,1.6,1,6.530877627725885,114.16666666666667,medium_risk,2
high_balance,4,current_paid,unknown,Junior,1,2,29,none,own,1,unskilled,2,no,no,1,male,single,mid_young,373.5,4,2.8,1.6,0,7.3098814858247865,373.5,medium_risk,1
negative,36,all_paid_here,very_low,Expert,4,4,31,bank,own,1,skilled,1,no,yes,0,male,single,mid_young,76.27777777777777,8,1.4,2.4000000000000004,1,7.918264686095274,305.1111111111111,medium_risk,4
negative,12,current_paid,very_low,Mid-Level,2,3,38,none,own,1,unskilled,2,no,yes,1,male,single,adults,59.0,6,1.4,1.6,1,6.5638555265321274,118.0,medium_risk,2
low_balance,24,current_paid,unknown,Mid-Level,1,4,48,none,own,1,unskilled,1,yes,yes,1,female,divorced/separated/married,adults,181.29166666666666,5,1.6,1.6,1,8.378390788535778,181.29166666666666,medium_risk,1
no_checking,12,critical_other,very_low,Mid-Level,4,2,32,none,own,2,skilled,1,no,yes,1,male,single,mid_young,58.416666666666664,2,2.6,2.4000000000000004,1,6.553933404025811,233.66666666666666,high_risk,8
negative,15,delayed_past,very_low,Expert,1,4,27,none,own,2,unskilled,1,no,yes,1,female,divorced/separated/married,mid_young,242.86666666666667,6,1.4,1.6,1,8.200837258379849,242.86666666666667,medium_risk,2
low_balance,30,critical_other,very_low,unemployed,4,2,28,none,own,2,management,1,no,yes,0,male,married/widowed,mid_young,141.63333333333333,4,2.0,2.8,1,8.354674261918463,566.5333333333333,medium_risk,8
negative,24,current_paid,very_low,Junior,4,3,32,none,own,1,skilled,1,no,yes,0,male,divorced/separated,mid_young,80.75,6,1.4,2.4000000000000004,1,7.569927655242652,323.0,low_risk,4
negative,24,current_paid,very_low,Senior,2,1,34,none,for free,1,management,1,yes,yes,1,male,single,mid_young,121.25,6,1.4,2.8,1,7.976251943745623,242.5,low_risk,2
negative,18,current_paid,high,Mid-Level,4,2,28,none,own,1,skilled,1,no,yes,1,male,single,mid_young,147.72222222222223,6,2.6,2.4000000000000004,1,7.886081401775745,590.8888888888889,medium_risk,4
no_checking,18,critical_other,very_low,Mid-Level,4,3,36,none,own,2,skilled,1,no,yes,1,female,divorced/separated/married,adults,57.111111111111114,2,2.6,2.4000000000000004,0,6.9363427358340495,228.44444444444446,medium_risk,8
negative,8,critical_other,very_low,Senior,1,4,39,none,own,2,unskilled,1,no,no,1,male,single,adults,424.75,5,1.4,1.6,0,8.131236549696116,424.75,medium_risk,2
no_checking,12,critical_other,unknown,Expert,2,4,49,none,rent,1,skilled,1,yes,yes,1,male,single,adults,483.4166666666667,2,2.2,2.4000000000000004,1,8.665957964681349,966.8333333333334,medium_risk,2
no_checking,24,current_paid,high,Senior,4,3,34,none,own,1,skilled,2,yes,yes,1,female,divorced/separated/married,mid_young,63.541666666666664,3,3.8,2.4000000000000004,1,7.330405211844402,254.16666666666666,medium_risk,4
high_balance,36,current_paid,very_low,Expert,4,2,31,none,own,1,skilled,1,no,yes,1,male,single,mid_young,124.25,4,3.2,2.4000000000000004,1,8.406038142050075,497.0,low_risk,4
low_balance,6,current_paid,very_low,Expert,4,4,28,none,own,1,skilled,2,no,yes,1,male,single,mid_young,178.0,5,2.0,2.4000000000000004,1,6.974478911025045,712.0,low_risk,4
negative,24,critical_other,very_low,unemployed,2,4,75,none,for free,2,management,1,yes,yes,1,male,single,adults,275.625,5,1.4,2.8,1,8.797246236703527,551.25,low_risk,4
no_checking,18,critical_other,low,Mid-Level,4,2,30,none,own,2,skilled,1,no,yes,0,female,divorced/separated/married,mid_young,103.55555555555556,2,3.0,2.4000000000000004,0,7.5310163320779155,414.22222222222223,high_risk,8
low_balance,60,current_paid,low,Junior,4,2,24,none,own,1,management,1,no,yes,0,female,divorced/separated/married,young,123.46666666666667,5,2.4,2.8,1,8.910450756416656,493.8666666666667,medium_risk,4
no_checking,48,critical_other,low,Mid-Level,2,4,24,bank,rent,2,unskilled,1,no,yes,0,female,divorced/separated/married,young,241.45833333333334,2,3.0,1.6,1,9.357984213888745,482.9166666666667,low_risk,4
negative,24,no_credits,very_low,Expert,3,4,23,bank,rent,2,skilled,2,no,yes,0,male,single,young,171.25,9,1.4,2.4000000000000004,1,8.321421586897879,513.75,medium_risk,6
negative,6,critical_other,very_low,Mid-Level,1,4,44,none,rent,1,management,1,yes,yes,0,male,divorced/separated,adults,564.0,5,1.4,2.8,0,8.127109185346375,564.0,medium_risk,1
low_balance,13,current_paid,very_low,Junior,2,4,23,none,own,1,unskilled,1,no,yes,1,female,divorced/separated/married,young,161.6153846153846,5,2.0,1.6,1,7.650644551436897,323.2307692307692,low_risk,2
negative,15,current_paid,unknown,Mid-Level,4,2,24,none,rent,1,skilled,1,no,yes,0,female,divorced/separated/married,young,85.0,6,1.0,2.4000000000000004,1,7.151485463904735,340.0,medium_risk,4
negative,24,current_paid,very_low,Mid-Level,4,4,28,none,own,1,skilled,1,no,yes,1,male,single,mid_young,173.70833333333334,6,1.4,2.4000000000000004,1,8.335671314792847,694.8333333333334,medium_risk,4
low_balance,10,current_paid,very_low,Mid-Level,4,2,31,none,own,1,unskilled,1,no,yes,1,male,divorced/separated,mid_young,152.1,5,2.0,1.6,1,7.3277805384216315,608.4,medium_risk,4
low_balance,24,critical_other,very_low,Junior,2,4,24,none,for free,2,skilled,1,yes,yes,1,female,divorced/separated/married,young,239.29166666666666,4,2.0,2.4000000000000004,1,8.65591111072806,478.5833333333333,high_risk,4
negative,21,current_paid,very_low,Senior,1,4,26,none,rent,1,unskilled,1,no,yes,1,female,divorced/separated/married,mid_young,171.38095238095238,6,1.4,1.6,1,8.1886891244442,171.38095238095238,medium_risk,1
low_balance,18,current_paid,medium,Junior,1,3,25,none,rent,1,skilled,1,no,yes,1,male,married/widowed,mid_young,178.5,5,2.8,2.4000000000000004,0,8.075271546297458,178.5,low_risk,1
low_balance,18,current_paid,very_low,Expert,1,1,33,bank,own,1,management,1,yes,yes,1,male,single,mid_young,246.61111111111111,5,2.0,2.8,0,8.39840965542627,246.61111111111111,high_risk,1
high_balance,10,current_paid,very_low,Junior,1,1,37,none,own,1,unskilled,2,no,yes,1,male,single,adults,394.9,4,3.2,1.6,1,8.281470857895167,394.9,medium_risk,1
no_checking,15,critical_other,very_low,Mid-Level,4,2,43,none,own,1,unskilled,1,no,yes,1,female,divorced/separated/married,adults,97.26666666666667,2,2.6,1.6,1,7.286191714702382,389.06666666666666,low_risk,4
low_balance,13,critical_other,very_low,Junior,4,4,23,none,own,2,skilled,1,no,yes,1,male,single,young,67.84615384615384,4,2.0,2.4000000000000004,0,6.78332520060396,271.38461538461536,low_risk,8
low_balance,24,current_paid,medium,unemployed,1,4,23,none,rent,1,unemployed,1,no,yes,1,female,divorced/separated/married,young,156.58333333333334,5,2.8,0.0,1,8.231908243564177,156.58333333333334,low_risk,1
no_checking,6,delayed_past,low,Mid-Level,1,2,34,none,own,2,unskilled,1,no,yes,1,male,single,mid_young,290.5,3,3.0,1.6,0,7.463936604468925,290.5,high_risk,2
low_balance,9,critical_other,high,Expert,4,3,32,none,for free,2,skilled,2,no,yes,0,male,single,mid_young,126.22222222222223,4,3.2,2.4000000000000004,1,7.036148493750536,504.8888888888889,high_risk,8
no_checking,9,current_paid,very_low,Junior,1,4,23,none,rent,1,skilled,1,yes,yes,1,female,divorced/separated/married,young,137.33333333333334,3,2.6,2.4000000000000004,0,7.1204443723924875,137.33333333333334,medium_risk,1
low_balance,9,current_paid,very_low,Mid-Level,1,2,29,none,own,1,skilled,1,no,no,0,female,divorced/separated/married,mid_young,106.55555555555556,5,2.0,2.4000000000000004,1,6.866933284461882,106.55555555555556,medium_risk,1
no_checking,18,critical_other,unknown,unemployed,2,4,38,none,own,1,management,1,yes,yes,1,male,single,adults,179.38888888888889,2,2.2,2.8,1,8.080237416216702,358.77777777777777,low_risk,2
negative,12,no_credits,very_low,Mid-Level,4,2,28,none,rent,2,skilled,1,yes,yes,0,male,single,mid_young,516.5833333333334,9,1.4,2.4000000000000004,1,8.732304571033183,2066.3333333333335,low_risk,8
no_checking,10,current_paid,medium,Expert,4,4,46,none,for free,1,skilled,1,yes,yes,1,male,single,adults,72.7,3,3.4,2.4000000000000004,1,6.590301048196686,290.8,high_risk,4
low_balance,24,current_paid,very_low,Junior,4,2,23,stores,own,1,unskilled,1,no,yes,0,male,single,young,51.916666666666664,5,2.0,1.6,0,7.1284959456800365,207.66666666666666,medium_risk,4
no_checking,12,critical_other,unknown,Expert,1,4,49,none,own,1,skilled,1,yes,yes,1,male,single,adults,194.25,2,2.2,2.4000000000000004,0,7.754481547470383,194.25,low_risk,1
no_checking,36,delayed_past,very_low,Mid-Level,4,2,26,none,own,2,management,1,yes,yes,0,male,single,mid_young,123.97222222222223,3,2.6,2.8,1,8.403800504061147,495.8888888888889,low_risk,8
no_checking,12,current_paid,very_low,Mid-Level,4,2,28,none,own,1,skilled,1,no,yes,1,male,married/widowed,mid_young,64.66666666666667,3,2.6,2.4000000000000004,0,6.655440350367647,258.6666666666667,low_risk,4
negative,30,current_paid,very_low,Senior,4,4,23,none,rent,1,skilled,1,no,yes,0,female,divorced/separated/married,young,80.2,6,1.4,2.4000000000000004,0,7.786136437783072,320.8,medium_risk,4
low_balance,18,current_paid,unknown,Mid-Level,4,4,61,none,for free,1,skilled,1,no,yes,1,male,single,adults,68.83333333333333,5,1.6,2.4000000000000004,1,7.122866658599083,275.3333333333333,high_risk,4
high_balance,12,current_paid,unknown,Expert,2,3,37,none,own,1,management,1,no,yes,1,male,single,adults,283.25,4,2.8,2.8,1,8.131530710604252,566.5,low_risk,2
high_balance,12,delayed_past,very_low,Mid-Level,2,2,36,stores,own,2,skilled,1,yes,yes,1,female,divorced/separated/married,adults,187.25,4,3.2,2.4000000000000004,1,7.717796211013582,374.5,medium_risk,4
no_checking,6,current_paid,very_low,Mid-Level,1,2,21,none,rent,1,skilled,1,no,yes,1,male,married/widowed,young,294.3333333333333,3,2.6,2.4000000000000004,1,7.4770384723196965,294.3333333333333,medium_risk,1
negative,18,current_paid,very_low,unemployed,4,1,25,none,own,1,unemployed,1,no,yes,0,male,single,mid_young,137.38888888888889,6,1.4,0.0,1,7.813591552952433,549.5555555555555,medium_risk,4
no_checking,12,current_paid,very_low,Senior,2,4,36,none,own,1,skilled,1,yes,yes,1,male,single,adults,128.5,3,2.6,2.4000000000000004,1,7.341483852363161,257.0,high_risk,2
no_checking,18,critical_other,very_low,Senior,3,1,27,none,own,2,skilled,1,no,yes,1,male,single,mid_young,213.88888888888889,2,2.6,2.4000000000000004,1,8.25608813381491,641.6666666666666,low_risk,6
negative,18,current_paid,very_low,Junior,1,4,22,none,rent,1,skilled,1,no,yes,1,female,divorced/separated/married,young,202.77777777777777,6,1.4,2.4000000000000004,1,8.202756381655638,202.77777777777777,medium_risk,1
negative,36,current_paid,very_low,Expert,4,2,42,none,own,1,skilled,2,no,yes,0,male,single,adults,95.72222222222223,6,1.4,2.4000000000000004,1,8.145259566516865,382.8888888888889,medium_risk,4
low_balance,18,current_paid,very_low,Senior,2,4,40,none,rent,1,skilled,1,no,yes,1,female,divorced/separated/married,adults,166.72222222222223,5,2.0,2.4000000000000004,0,8.007034012193408,333.44444444444446,medium_risk,2
no_checking,36,current_paid,unknown,Mid-Level,4,4,36,none,own,1,skilled,1,no,yes,1,male,single,adults,85.52777777777777,3,2.2,2.4000000000000004,0,8.03268487596762,342.1111111111111,medium_risk,4
no_checking,18,critical_other,very_low,Expert,3,4,33,none,own,2,skilled,1,yes,yes,1,male,single,mid_young,337.22222222222223,2,2.6,2.4000000000000004,1,8.711278615130434,1011.6666666666667,low_risk,6
